OrderID,OrderDate,Region,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit,CustomerSegment,Returned,ShipMode,Comments
ORD-14387,2024-06-01 00:00:00,South,Office Supplies,Paper,Paper 4387,,3,0.3,75.18,Corporate,No,Standard Class,Customer requested refund
ORD-11050,2020-07-31 00:00:00,East,Office Supplies,Binders,Binders 1050,839.16,8,0.5,,Home Office,No,Same Day,
ORD-12791,2024-07-01 00:00:00,east,Office Supplies,Paper,Paper 2791,559.24,4,0.3,109.7,Corporate,No,Second Class,
ORD-11445,2020-01-08 00:00:00,West,Technology,Phones,Phones 1445,199.94,7,0.5,10.82,Consumer,Yes,Standard Class,Expedited delivery
ORD-10150,2024-09-25 00:00:00,West,Office Supplies,Paper,Paper 150,630.93,2,0.4,91.88,Consumer,No,First Class,
ORD-11130,2023-09-24 00:00:00,West,Office Supplies,Binders,Binders 1130,390.45,2,0.3,77.5,Consumer,No,Standard Class,Customer requested refund
ORD-14221,2023-04-02 00:00:00,South,Furniture,Chairs,Chairs 4221,828.02,4,0.0,,Home Office,Yes,First Class,
ORD-11280,2022-10-10 00:00:00,South,Technology,Machines,Machines 1280,453.45,8,0.2,93.06,Consumer,No,Same Day,Delayed shipment
ORD-11956,2020-05-15 00:00:00,West,Technology,Accessories,Accessories 1956,426.26,7,0.2,66.26,Home Office,No,Standard Class,Expedited delivery
ORD-12152,NotADate,West,Furniture,Bookcases,Bookcases 2152,241.8,3,0.4,40.3,Corporate,No,Standard Class,Damaged box
ORD-10144,2024-07-18 00:00:00,East,Technology,Accessories,Accessories 144,304.58,6,0.5,10.83,Corporate,No,Standard Class,
ORD-10066,2021-03-10 00:00:00,North,Office Supplies,Storage,Storage 66,42.82,6,0.2,4.63,Consumer,No,Same Day,Expedited delivery
ORD-10373,2024-01-25 00:00:00,South,Furniture,Chairs,Chairs 373,1074.91,9,0.1,277.39,Consumer,No,First Class,Expedited delivery
ORD-13012,2022-05-29 00:00:00,North,Technology,Machines,Machines 3012,212.25,4,0.4,26.93,Consumer,No,Standard Class,Customer requested refund
ORD-13339,2023-06-14 00:00:00,South,Technology,Machines,Machines 3339,672.16,7,0.2,34.85,Corporate,No,Second Class,Customer requested refund
ORD-13531,NotADate,West,Office Supplies,Paper,Paper 3531,332.35,8,0.4,12.09,Home Office,Yes,Same Day,Expedited delivery
ORD-14605,2022-01-07 00:00:00,West,Office Supplies,Storage,Storage 4605,95.07,7,0.4,7.6,Home Office,No,Standard Class,Delayed shipment
ORD-11866,2022-12-18 00:00:00,West,Office Supplies,Binders,Binders 1866,368.33,5,0.1,77.52,Consumer,No,Second Class,Customer requested refund
ORD-13276,2024-06-20 00:00:00,North,Furniture,Chairs,Chairs 3276,761.13,2,0.4,,Consumer,No,Second Class,Expedited delivery
ORD-14953,2023-07-04 00:00:00,West,Office Supplies,Storage,Storage 4953,360.27,10,0.3,65.56,Home Office,No,Same Day,
ORD-11799,2023-01-30 00:00:00,west,Office Supplies,Labels,Labels 1799,416.4,6,0.4,35.4,Corporate,No,First Class,Delayed shipment
ORD-13230,2023-04-10 00:00:00,East,Furniture,Furnishings,Furnishings 3230,211.45,4,0.3,42.87,Corporate,No,Second Class,Expedited delivery
ORD-13312,2024-03-03 00:00:00,East,Technology,Accessories,Accessories 3312,120.49,4,0.3,21.04,Home Office,No,Same Day,
ORD-11731,2022-07-17 00:00:00,South,Office Supplies,Storage,Storage 1731,802.72,8,0.5,26.2,Corporate,No,Standard Class,Delayed shipment
ORD-13026,2023-06-16 00:00:00,West,Office Supplies,Art,Art 3026,366.59,7,0.5,28.2,Home Office,No,First Class,Damaged box
ORD-10678,2021-06-21 00:00:00,east,Furniture,Tables,Tables 678,460.49,5,0.5,59.53,Consumer,No,Second Class,
ORD-11628,2022-04-26 00:00:00,East,Technology,Accessories,Accessories 1628,200.44,2,0.2,16.29,Home Office,No,Standard Class,Delayed shipment
ORD-14604,2022-09-19 00:00:00,East,Technology,Copiers,Copiers 4604,202.52,9,0.2,36.5,Corporate,No,Second Class,
ORD-12570,2023-11-05 00:00:00,South,Office Supplies,Storage,Storage 2570,1256.73,5,0.4,187.49,Corporate,No,Second Class,
ORD-14086,2023-03-22 00:00:00,South,Office Supplies,Binders,Binders 4086,740.26,2,0.2,105.16,Home Office,No,Second Class,Customer requested refund
ORD-11060,2023-05-05 00:00:00,East,Office Supplies,Binders,Binders 1060,,2,0.0,23.15,Consumer,No,Same Day,Delayed shipment
ORD-13691,2021-08-29 00:00:00,North,Office Supplies,Paper,Paper 3691,437.98,1,0.5,29.05,Corporate,No,Same Day,Delayed shipment
ORD-13734,2023-10-30 00:00:00,South,Furniture,Bookcases,Bookcases 3734,485.84,9,0.2,111.69,Corporate,Yes,First Class,
ORD-10736,2024-11-23 00:00:00,North,Technology,Copiers,Copiers 736,340.66,3,0.2,25.45,Corporate,No,Same Day,Customer requested refund
ORD-11804,2020-09-12 00:00:00,East,Technology,Machines,Machines 1804,275.56,1,0.4,23.28,Consumer,No,Standard Class,Damaged box
ORD-13523,2024-06-06 00:00:00,North,Furniture,Bookcases,Bookcases 3523,705.01,5,0.2,78.35,Corporate,No,Second Class,Customer requested refund
ORD-11276,2020-03-01 00:00:00,North,Furniture,Bookcases,Bookcases 1276,201.63,3,0.4,23.74,Corporate,No,Same Day,Customer requested refund
ORD-14448,2023-07-26 00:00:00,East,Technology,Copiers,Copiers 4448,248.22,5,0.0,59.24,Home Office,Yes,Second Class,Expedited delivery
ORD-11759,2024-12-28 00:00:00,North,Office Supplies,Art,Art 1759,484.98,3,0.2,73.47,Corporate,No,Second Class,Damaged box
ORD-13275,2024-02-17 00:00:00,North,Office Supplies,Paper,Paper 3275,21.74,3,0.4,1.31,Corporate,No,Standard Class,Delayed shipment
ORD-12471,2024-03-09 00:00:00,East,Technology,Accessories,Accessories 2471,110.25,2,0.1,11.64,Home Office,No,First Class,
ORD-14071,2022-08-10 00:00:00,North,Technology,Machines,Machines 4071,258.94,4,0.0,58.66,Corporate,No,Second Class,Delayed shipment
ORD-10996,2024-12-17 00:00:00,East,Office Supplies,Labels,Labels 996,176.03,3,0.3,27.34,Corporate,No,Second Class,
ORD-11557,2022-07-20 00:00:00,North,Technology,Machines,Machines 1557,417.28,3,0.5,16.16,Corporate,No,Second Class,Delayed shipment
ORD-12616,2022-12-11 00:00:00,North,Office Supplies,Binders,Binders 2616,167.99,7,0.1,9.3,Home Office,Yes,Second Class,Delayed shipment
ORD-12097,2020-10-19 00:00:00,South,Technology,Phones,Phones 2097,795.78,10,0.3,86.77,Corporate,No,Same Day,
ORD-13860,2023-04-11 00:00:00,South,Furniture,Furnishings,Furnishings 3860,86.53,6,0.1,9.11,Corporate,No,Standard Class,Expedited delivery
ORD-12155,2021-11-16 00:00:00,south,Office Supplies,Art,Art 2155,552.51,9,0.5,77.29,Corporate,No,Second Class,Customer requested refund
ORD-11673,2024-01-26 00:00:00,South,Office Supplies,Paper,Paper 1673,74.81,3,0.4,8.66,Home Office,No,First Class,Damaged box
ORD-12070,2020-07-17 00:00:00,East,Technology,Machines,Machines 2070,27.99,4,0.1,5.82,Home Office,No,First Class,Expedited delivery
ORD-14614,2021-09-25 00:00:00,South,Office Supplies,Paper,Paper 4614,396.52,7,0.0,41.36,Corporate,No,Same Day,Expedited delivery
ORD-14393,2021-02-06 00:00:00,East,Office Supplies,Storage,Storage 4393,137.79,4,0.5,8.75,Consumer,No,Standard Class,
ORD-14882,2021-07-14 00:00:00,South,Technology,Copiers,Copiers 4882,781.39,4,0.1,84.36,Consumer,No,First Class,
ORD-11181,2021-10-14 00:00:00,North,Technology,Copiers,Copiers 1181,495.49,3,0.1,26.97,Corporate,No,Same Day,Damaged box
ORD-10476,2022-07-25 00:00:00,North,Technology,Phones,Phones 476,324.46,2,0.5,29.13,Corporate,No,Second Class,Expedited delivery
ORD-10483,2023-02-21 00:00:00,North,Technology,Machines,Machines 483,194.3,9,0.2,21.15,Corporate,No,First Class,
ORD-12870,2021-01-30 00:00:00,North,Office Supplies,Art,Art 2870,322.78,5,0.0,96.04,Consumer,No,Same Day,Expedited delivery
ORD-10388,2021-08-27 00:00:00,North,Furniture,Tables,Tables 388,637.99,3,0.0,119.33,Home Office,No,Same Day,Expedited delivery
ORD-13798,2020-12-29 00:00:00,South,Office Supplies,Binders,Binders 3798,92.45,1,0.5,6.84,Home Office,No,Second Class,
ORD-10781,2020-12-08 00:00:00,East,Office Supplies,Art,Art 781,795.07,2,0.1,198.75,Home Office,No,Standard Class,Expedited delivery
ORD-14996,2022-11-23 00:00:00,North,Technology,Phones,Phones 4996,1194.97,7,0.0,82.36,Home Office,Yes,Same Day,
ORD-12331,2021-07-18 00:00:00,west,Office Supplies,Labels,Labels 2331,223.77,4,0.3,9.84,Corporate,No,First Class,
ORD-10314,NotADate,East,Office Supplies,Storage,Storage 314,489.69,1,0.2,19.73,Consumer,No,First Class,Expedited delivery
ORD-11992,2023-05-15 00:00:00,south,Technology,Accessories,Accessories 1992,427.88,3,0.4,59.45,Consumer,No,Standard Class,Delayed shipment
ORD-13881,2021-06-16 00:00:00,North,Office Supplies,Binders,Binders 3881,420.09,6,0.5,20.82,Corporate,No,Second Class,
ORD-10870,2022-03-07 00:00:00,South,Technology,Copiers,Copiers 870,469.61,4,0.1,113.11,Home Office,No,Standard Class,Damaged box
ORD-12077,2024-01-04 00:00:00,East,Furniture,Tables,Tables 2077,1187.46,7,0.1,101.27,Home Office,No,Second Class,Delayed shipment
ORD-12763,2024-12-10 00:00:00,West,Office Supplies,Binders,Binders 2763,229.43,7,0.4,11.07,Home Office,No,Standard Class,Delayed shipment
ORD-11574,2023-09-29 00:00:00,North,Furniture,Bookcases,Bookcases 1574,267.48,10,0.4,35.41,Home Office,No,Second Class,Delayed shipment
ORD-12089,2024-02-18 00:00:00,North,Technology,Accessories,Accessories 2089,470.51,10,0.5,,Consumer,No,Same Day,Damaged box
ORD-11975,2023-11-13 00:00:00,South,Furniture,Bookcases,Bookcases 1975,,10,0.5,46.84,Home Office,No,Same Day,Damaged box
ORD-13150,2021-10-26 00:00:00,west,Technology,Accessories,Accessories 3150,240.37,9,0.4,14.17,Consumer,No,Standard Class,Expedited delivery
ORD-13555,2020-11-05 00:00:00,east,Office Supplies,Storage,Storage 3555,11.34,3,0.4,0.48,Consumer,No,First Class,Customer requested refund
ORD-11554,2024-07-31 00:00:00,East,Technology,Phones,Phones 1554,325.28,3,0.4,15.82,Consumer,No,First Class,
ORD-13260,NotADate,East,Technology,Accessories,Accessories 3260,688.82,9,0.4,54.79,Home Office,No,Second Class,Damaged box
ORD-11619,2020-10-07 00:00:00,North,Technology,Machines,Machines 1619,317.03,2,0.0,91.07,Home Office,No,Standard Class,
ORD-13023,2023-12-26 00:00:00,South,Furniture,Tables,Tables 3023,39.71,2,0.3,2.67,Consumer,No,Standard Class,Damaged box
ORD-12746,2022-01-20 00:00:00,West,Office Supplies,Labels,Labels 2746,276.1,1,0.5,11.9,Corporate,No,First Class,Expedited delivery
ORD-12892,2024-01-10 00:00:00,West,Technology,Machines,Machines 2892,87.01,10,0.2,8.84,Home Office,No,Second Class,Expedited delivery
ORD-13627,2021-08-05 00:00:00,West,Technology,Copiers,Copiers 3627,327.72,3,0.3,29.91,Home Office,Yes,Standard Class,
ORD-11706,2022-11-30 00:00:00,West,Furniture,Tables,Tables 1706,749.32,10,0.1,88.64,Corporate,No,Second Class,Customer requested refund
ORD-14938,2023-10-06 00:00:00,East,Office Supplies,Binders,Binders 4938,490.99,5,0.5,71.67,Corporate,No,Standard Class,
ORD-10594,2022-06-09 00:00:00,North,Office Supplies,Paper,Paper 594,927.27,6,0.0,181.45,Corporate,No,First Class,
ORD-10630,2020-05-27 00:00:00,west,Technology,Copiers,Copiers 630,1215.56,1,0.5,51.9,Home Office,Yes,Second Class,Damaged box
ORD-13911,2022-12-15 00:00:00,South,Office Supplies,Labels,Labels 3911,169.88,10,0.3,21.57,Consumer,No,Standard Class,Damaged box
ORD-10169,2023-09-15 00:00:00,east,Furniture,Bookcases,Bookcases 169,509.48,5,0.2,65.82,Consumer,No,First Class,Delayed shipment
ORD-12187,2024-03-31 00:00:00,West,Technology,Phones,Phones 2187,383.82,5,0.5,38.7,Corporate,No,Same Day,Damaged box
ORD-14837,2022-02-14 00:00:00,West,Technology,Accessories,Accessories 4837,646.09,7,0.1,45.48,Consumer,No,Same Day,
ORD-13824,2020-08-03 00:00:00,South,Technology,Machines,Machines 3824,180.33,1,0.2,10.82,Corporate,No,Same Day,
ORD-13837,2020-08-20 00:00:00,West,Office Supplies,Labels,Labels 3837,247.1,6,0.0,31.67,Home Office,No,Same Day,Customer requested refund
ORD-14879,2024-04-17 00:00:00,south,Furniture,Bookcases,Bookcases 4879,415.73,7,0.1,94.56,Consumer,No,Standard Class,Customer requested refund
ORD-14556,2021-03-26 00:00:00,North,Office Supplies,Storage,Storage 4556,687.84,1,0.2,55.56,Consumer,No,Same Day,Delayed shipment
ORD-11861,2021-09-28 00:00:00,South,Furniture,Furnishings,Furnishings 1861,51.57,7,0.1,11.18,Home Office,No,Same Day,
ORD-14650,2024-07-21 00:00:00,South,Technology,Machines,Machines 4650,158.32,1,0.3,13.43,Consumer,No,Second Class,Expedited delivery
ORD-10289,2023-01-25 00:00:00,north,Furniture,Bookcases,Bookcases 289,130.84,10,0.1,22.55,Corporate,No,First Class,Customer requested refund
ORD-14055,NotADate,west,Furniture,Bookcases,Bookcases 4055,219.62,9,0.2,50.39,Home Office,Yes,Same Day,Delayed shipment
ORD-11252,2024-08-29 00:00:00,West,Technology,Copiers,Copiers 1252,94.32,8,0.5,5.22,Corporate,No,Same Day,Damaged box
ORD-12357,2024-03-20 00:00:00,North,Office Supplies,Labels,Labels 2357,300.37,1,0.5,39.45,Home Office,No,First Class,Delayed shipment
ORD-14050,2024-03-24 00:00:00,South,Furniture,Bookcases,Bookcases 4050,451.41,4,0.3,39.01,Corporate,No,Same Day,
ORD-13189,2022-06-03 00:00:00,east,Office Supplies,Storage,Storage 3189,389.14,8,0.0,108.73,Corporate,No,Standard Class,Customer requested refund
ORD-10924,2023-10-05 00:00:00,North,Furniture,Tables,Tables 924,339.63,2,0.5,,Home Office,No,Same Day,Expedited delivery
ORD-11920,2022-02-22 00:00:00,West,Technology,Machines,Machines 1920,654.91,5,0.3,127.79,Corporate,No,Second Class,
ORD-10961,2023-05-28 00:00:00,West,Furniture,Bookcases,Bookcases 961,213.34,8,0.1,41.98,Home Office,No,Standard Class,Delayed shipment
ORD-14317,2022-11-16 00:00:00,west,Technology,Copiers,Copiers 4317,230.55,10,0.0,40.95,Home Office,No,Same Day,Expedited delivery
ORD-14301,2021-10-11 00:00:00,East,Technology,Phones,Phones 4301,289.45,5,0.5,21.56,Corporate,No,Same Day,Delayed shipment
ORD-10350,2020-11-05 00:00:00,North,Furniture,Tables,Tables 350,52.7,2,0.0,11.44,Home Office,No,Standard Class,Damaged box
ORD-10192,2024-04-14 00:00:00,South,Furniture,Chairs,Chairs 192,330.18,9,0.2,67.71,Home Office,No,Same Day,Expedited delivery
ORD-11254,2024-04-21 00:00:00,West,Furniture,Chairs,Chairs 1254,632.42,4,0.2,71.12,Home Office,No,Second Class,
ORD-10687,2020-12-18 00:00:00,West,Furniture,Bookcases,Bookcases 687,262.83,5,0.0,,Corporate,No,First Class,Delayed shipment
ORD-11746,2021-01-08 00:00:00,North,Technology,Machines,Machines 1746,105.04,9,0.3,12.14,Corporate,No,First Class,Delayed shipment
ORD-10062,2021-12-12 00:00:00,East,Technology,Machines,Machines 62,293.4,9,0.3,44.23,Home Office,No,Standard Class,
ORD-12278,2024-02-27 00:00:00,West,Office Supplies,Art,Art 2278,299.12,7,0.2,27.53,Home Office,No,Standard Class,Customer requested refund
ORD-14900,2023-07-26 00:00:00,North,Technology,Phones,Phones 4900,521.57,5,0.2,51.94,Consumer,No,Second Class,Customer requested refund
ORD-10448,2020-02-15 00:00:00,West,Office Supplies,Art,Art 448,598.34,4,0.0,49.05,Home Office,No,Same Day,Delayed shipment
ORD-11493,2020-02-19 00:00:00,South,Technology,Machines,Machines 1493,569.4,5,0.1,55.71,Consumer,No,First Class,
ORD-12865,2023-12-16 00:00:00,East,Furniture,Bookcases,Bookcases 2865,230.86,2,0.1,60.83,Home Office,No,First Class,Damaged box
ORD-10390,2021-06-08 00:00:00,east,Office Supplies,Art,Art 390,556.55,4,0.3,115.77,Home Office,No,Standard Class,Customer requested refund
ORD-10194,2020-10-07 00:00:00,East,Technology,Copiers,Copiers 194,653.82,6,0.3,82.3,Consumer,No,Standard Class,
ORD-14808,2021-10-19 00:00:00,South,Technology,Phones,Phones 4808,451.79,7,0.3,20.05,Consumer,No,Standard Class,
ORD-11659,2020-05-26 00:00:00,West,Technology,Phones,Phones 1659,143.01,7,0.5,14.91,Home Office,No,Same Day,Expedited delivery
ORD-10339,2024-03-06 00:00:00,south,Technology,Phones,Phones 339,158.53,2,0.1,19.5,Consumer,No,First Class,Delayed shipment
ORD-14781,2020-05-22 00:00:00,East,Technology,Phones,Phones 4781,612.81,7,0.3,97.73,Corporate,No,First Class,Delayed shipment
ORD-12186,2020-03-16 00:00:00,North,Furniture,Bookcases,Bookcases 2186,712.85,3,0.0,54.59,Consumer,No,Same Day,Customer requested refund
ORD-11521,2022-09-06 00:00:00,West,Office Supplies,Storage,Storage 1521,429.77,8,0.1,28.92,Consumer,No,Same Day,
ORD-13301,2022-11-28 00:00:00,north,Office Supplies,Storage,Storage 3301,952.66,5,0.3,103.55,Corporate,No,First Class,
ORD-14110,2020-11-25 00:00:00,East,Furniture,Furnishings,Furnishings 4110,,5,0.3,26.26,Consumer,No,Standard Class,Customer requested refund
ORD-12519,2020-08-26 00:00:00,South,Office Supplies,Art,Art 2519,,9,0.1,138.98,Home Office,No,Second Class,Damaged box
ORD-11657,2021-11-25 00:00:00,West,Technology,Phones,Phones 1657,,9,0.4,39.55,Home Office,No,Standard Class,Customer requested refund
ORD-10270,2023-10-18 00:00:00,North,Office Supplies,Binders,Binders 270,391.69,3,0.5,21.73,Home Office,No,Standard Class,
ORD-12827,2021-06-18 00:00:00,South,Office Supplies,Storage,Storage 2827,86.33,10,0.5,9.53,Home Office,No,First Class,Customer requested refund
ORD-14863,2023-07-25 00:00:00,West,Furniture,Bookcases,Bookcases 4863,243.94,9,0.2,23.8,Home Office,Yes,First Class,Customer requested refund
ORD-13083,2023-03-18 00:00:00,North,Office Supplies,Art,Art 3083,245.68,5,0.0,61.83,Corporate,No,Standard Class,Damaged box
ORD-14797,2020-09-30 00:00:00,West,Furniture,Furnishings,Furnishings 4797,154.73,8,0.0,34.91,Consumer,No,Standard Class,
ORD-10720,2020-10-29 00:00:00,West,Technology,Phones,Phones 720,,4,0.1,82.07,Corporate,No,Same Day,Damaged box
ORD-10058,2022-08-21 00:00:00,South,Furniture,Bookcases,Bookcases 58,415.79,1,0.5,38.43,Corporate,No,Standard Class,Delayed shipment
ORD-14944,2020-08-03 00:00:00,East,Office Supplies,Labels,Labels 4944,260.13,7,0.2,10.95,Consumer,No,Same Day,Expedited delivery
ORD-10286,2022-09-29 00:00:00,West,Technology,Machines,Machines 286,616.72,3,0.4,77.0,Home Office,No,Same Day,Damaged box
ORD-11938,2022-03-15 00:00:00,West,Technology,Machines,Machines 1938,758.35,8,0.3,76.57,Consumer,No,Standard Class,Customer requested refund
ORD-13439,2024-09-11 00:00:00,East,Furniture,Furnishings,Furnishings 3439,255.66,8,0.4,23.14,Home Office,No,Standard Class,
ORD-11283,2023-06-02 00:00:00,South,Technology,Phones,Phones 1283,76.37,4,0.1,,Consumer,No,First Class,Expedited delivery
ORD-11811,2021-11-11 00:00:00,East,Office Supplies,Paper,Paper 1811,556.35,2,0.0,140.9,Corporate,No,Second Class,Customer requested refund
ORD-10404,2020-04-03 00:00:00,North,Technology,Machines,Machines 404,71.31,3,0.3,4.25,Home Office,No,Standard Class,
ORD-11120,2024-01-12 00:00:00,North,Office Supplies,Paper,Paper 1120,638.74,1,0.3,92.07,Home Office,No,First Class,
ORD-10201,2023-06-03 00:00:00,North,Technology,Machines,Machines 201,396.91,8,0.1,103.36,Home Office,No,First Class,
ORD-10778,2020-12-23 00:00:00,North,Furniture,Bookcases,Bookcases 778,222.56,9,0.0,56.02,Home Office,No,Second Class,Damaged box
ORD-11489,2020-09-02 00:00:00,East,Furniture,Furnishings,Furnishings 1489,541.23,5,0.1,56.35,Corporate,No,Standard Class,
ORD-13408,2023-03-16 00:00:00,West,Furniture,Furnishings,Furnishings 3408,244.22,1,0.3,19.57,Home Office,No,First Class,Customer requested refund
ORD-14219,2020-11-05 00:00:00,North,Office Supplies,Binders,Binders 4219,899.95,4,0.2,123.19,Corporate,No,Same Day,Customer requested refund
ORD-14642,2023-04-30 00:00:00,West,Furniture,Bookcases,Bookcases 4642,213.78,5,0.1,29.48,Corporate,No,Second Class,
ORD-10758,NotADate,North,Technology,Accessories,Accessories 758,78.14,6,0.4,4.69,Home Office,No,Standard Class,Damaged box
ORD-11461,2020-05-09 00:00:00,West,Technology,Machines,Machines 1461,842.84,1,0.3,84.07,Corporate,No,Same Day,Delayed shipment
ORD-12941,2022-10-05 00:00:00,South,Office Supplies,Binders,Binders 2941,390.64,5,0.4,25.0,Corporate,No,Second Class,Expedited delivery
ORD-14520,2023-07-26 00:00:00,West,Office Supplies,Art,Art 4520,166.26,5,0.1,12.01,Consumer,No,Same Day,Delayed shipment
ORD-12822,2024-02-23 00:00:00,West,Technology,Copiers,Copiers 2822,447.72,10,0.5,33.69,Corporate,No,First Class,
ORD-12033,NotADate,East,Furniture,Furnishings,Furnishings 2033,352.51,1,0.0,30.09,Consumer,No,Second Class,
ORD-11796,2023-03-26 00:00:00,West,Technology,Copiers,Copiers 1796,460.75,6,0.1,,Corporate,No,Standard Class,Damaged box
ORD-13499,2024-09-26 00:00:00,North,Office Supplies,Storage,Storage 3499,362.86,6,0.1,50.89,Corporate,No,Standard Class,
ORD-13040,2022-01-30 00:00:00,East,Furniture,Bookcases,Bookcases 3040,100.53,6,0.0,8.33,Consumer,No,Second Class,
ORD-11167,2022-08-21 00:00:00,South,Furniture,Bookcases,Bookcases 1167,126.11,5,0.4,4.37,Home Office,No,First Class,
ORD-13347,2024-09-17 00:00:00,East,Technology,Phones,Phones 3347,267.71,4,0.3,43.26,Home Office,No,First Class,
ORD-12990,2023-09-02 00:00:00,South,Office Supplies,Binders,Binders 2990,357.41,3,0.1,43.51,Home Office,No,First Class,Damaged box
ORD-12447,2022-01-30 00:00:00,South,Office Supplies,Storage,Storage 2447,497.1,10,0.0,129.48,Corporate,No,Second Class,Delayed shipment
ORD-11401,2024-04-27 00:00:00,North,Furniture,Furnishings,Furnishings 1401,158.29,1,0.4,24.49,Corporate,No,First Class,
ORD-10257,2020-05-09 00:00:00,North,Furniture,Bookcases,Bookcases 257,33.77,3,0.3,2.81,Corporate,No,Second Class,Damaged box
ORD-13093,2022-04-10 00:00:00,South,Technology,Phones,Phones 3093,442.22,2,0.0,131.36,Consumer,No,Second Class,Damaged box
ORD-10156,2020-02-24 00:00:00,West,Furniture,Chairs,Chairs 156,576.01,7,0.0,85.89,Corporate,No,First Class,Delayed shipment
ORD-12223,2020-04-19 00:00:00,North,Office Supplies,Labels,Labels 2223,579.35,5,0.5,44.85,Consumer,No,First Class,
ORD-13389,2024-10-19 00:00:00,West,Office Supplies,Binders,Binders 3389,321.61,8,0.0,93.52,Corporate,No,First Class,Customer requested refund
ORD-10893,2020-10-01 00:00:00,South,Office Supplies,Paper,Paper 893,381.0,5,0.2,64.28,Home Office,Yes,First Class,
ORD-12385,NotADate,North,Furniture,Tables,Tables 2385,758.11,3,0.2,64.52,Corporate,No,First Class,Expedited delivery
ORD-10333,2020-12-25 00:00:00,west,Technology,Accessories,Accessories 333,26.33,8,0.0,1.91,Corporate,No,First Class,
ORD-12182,2023-08-19 00:00:00,North,Office Supplies,Paper,Paper 2182,484.87,7,0.0,41.71,Consumer,No,Standard Class,Delayed shipment
ORD-11368,2021-12-12 00:00:00,South,Technology,Copiers,Copiers 1368,479.71,8,0.3,64.92,Home Office,No,Standard Class,
ORD-10669,2024-02-07 00:00:00,South,Furniture,Tables,Tables 669,265.99,8,0.0,22.57,Corporate,No,Standard Class,
ORD-11104,2022-01-06 00:00:00,West,Furniture,Chairs,Chairs 1104,609.26,4,0.5,22.03,Home Office,No,Same Day,Expedited delivery
